BIN-ID	COUNTS	RECURSIVE-COUNTS
0	0	0
1	1	382
1.1	0	240
1.1.1	0	106
1.1.1.1	45	45
1.1.1.2	61	61
1.1.1.3	0	0
1.1.1.4	0	0
1.1.2	3	29
1.1.2.1	6	6
1.1.2.2	20	20
1.1.2.3	0	0
1.1.3	3	7
1.1.3.1	1	1
1.1.3.2	0	0
1.1.3.3	1	1
1.1.3.4	2	2
1.1.3.5	0	0
1.1.4	8	14
1.1.4.1	0	0
1.1.4.2	1	1
1.1.4.3	1	1
1.1.4.4	2	2
1.1.4.5	0	0
1.1.4.6	0	0
1.1.4.7	2	2
1.1.4.8	0	0
1.1.4.9	0	0
1.1.5	1	38
1.1.5.1	1	1
1.1.5.2	24	24
1.1.5.3	7	7
1.1.5.4	5	5
1.1.6	17	17
1.1.30	5	5
1.1.40	24	24
1.1.50	0	0
1.1.60	0	0
1.1.70	0	0
1.1.70.1	0	0
1.1.70.2	0	0
1.1.99	0	0
1.1.99.1	0	0
1.1.1001	0	0
1.1.1002	0	0
1.1.1003	0	0
1.1.1004	0	0
1.2	4	51
1.2.1	1	1
1.2.2	16	16
1.2.3	2	2
1.2.4	0	3
1.2.4.1	0	0
1.2.4.2	0	0
1.2.4.3	0	0
1.2.4.4	3	3
1.2.5	15	15
1.2.6	7	7
1.2.7	3	3
1.2.1001	0	0
1.2.1002	0	0
1.2.1003	0	0
1.2.1004	0	0
1.2.1005	0	0
1.2.1006	0	0
1.3	2	90
1.3.1	1	1
1.3.2	11	11
1.3.3	11	11
1.3.4	5	5
1.3.5	6	6
1.3.6	15	15
1.3.7	11	11
1.3.8	3	3
1.3.9	2	2
1.3.10	0	0
1.3.11	2	2
1.3.12	1	1
1.3.13	20	20
1.3.1001	0	0
1.3.1002	0	0
1.3.1003	0	0
1.3.1004	0	0
1.3.1005	0	0
1.3.1006	0	0
1.3.1007	0	0
1.4	0	0
1.5	0	0
1.5.1	0	0
1.5.2	0	0
1.5.3	0	0
2	0	198
2.1	0	62
2.1.1	0	13
2.1.1.1	7	7
2.1.1.2	6	6
2.1.1.3	0	0
2.1.1.1001	0	0
2.1.1.1002	0	0
2.1.1.1003	0	0
2.1.1.1004	0	0
2.1.1.1005	0	0
2.1.1.1006	0	0
2.1.1.1007	0	0
2.1.1.1008	0	0
2.1.2	11	49
2.1.2.1	10	10
2.1.2.2	13	13
2.1.2.3	3	3
2.1.2.4	5	5
2.1.2.5	3	3
2.1.2.60	4	4
2.1.2.1001	0	0
2.1.2.1002	0	0
2.1.2.1003	0	0
2.1.2.1004	0	0
2.2	0	136
2.2.1	0	81
2.2.1.1	12	12
2.2.1.3	0	37
2.2.1.3.1	20	20
2.2.1.3.2	15	15
2.2.1.3.3	2	2
2.2.1.3.30	0	0
2.2.1.4	14	14
2.2.1.5	14	14
2.2.1.99	4	4
2.2.1.1001	0	0
2.2.1.1002	0	0
2.2.2	0	55
2.2.2.1	15	27
2.2.2.1.1	2	2
2.2.2.1.2	10	10
2.2.2.2	10	10
2.2.2.3	4	4
2.2.2.4	3	3
2.2.2.6	6	6
2.2.2.8	1	1
2.2.2.9	0	0
2.2.2.10	4	4
2.2.2.1001	0	0
2.2.2.1002	0	0
2.2.2.1003	0	0
2.2.2.1004	0	0
2.2.10	0	0
2.2.10.1	0	0
2.2.10.2	0	0
2.2.10.3	0	0
3	0	233
3.1	0	19
3.1.1	0	4
3.1.1.1	0	0
3.1.1.2	4	4
3.1.2	0	14
3.1.2.1	3	3
3.1.2.2	11	11
3.1.3	1	1
3.1.1001	0	0
3.1.1002	0	0
3.2	0	52
3.2.1	20	20
3.2.2	14	14
3.2.3	17	17
3.2.4	1	1
3.2.1001	0	0
3.3	2	2
3.3.1001	0	0
3.3.1002	0	0
3.3.1003	0	0
3.3.1004	0	0
3.3.1005	0	0
3.3.1006	0	0
3.3.1007	0	0
3.3.1008	0	0
3.3.1009	0	0
3.3.1010	0	0
3.3.1011	0	0
3.3.1012	0	0
3.4	0	28
3.4.1	0	0
3.4.2	10	10
3.4.3	2	2
3.4.4	6	6
3.4.5	10	10
3.4.1001	0	0
3.4.1002	0	0
3.4.1003	0	0
3.4.1004	0	0
3.5	91	92
3.5.1	1	1
3.6	15	15
3.7	14	14
3.8	0	10
3.8.1	2	2
3.8.2	8	8
3.8.3	0	0
3.99	1	1
3.99.1001	0	0
3.99.1002	0	0
3.99.1003	0	0
3.99.1004	0	0
3.99.1005	0	0
3.99.1006	0	0
3.99.1007	0	0
3.99.1008	0	0
3.99.1009	0	0
3.99.1010	0	0
3.99.1011	0	0
3.99.1012	0	0
3.99.1013	0	0
3.99.1014	0	0
3.99.1015	0	0
3.99.1016	0	0
3.99.1017	0	0
3.99.1018	0	0
3.99.1019	0	0
3.99.1020	0	0
3.99.1021	0	0
3.99.1022	0	0
3.99.1023	0	0
3.99.1024	0	0
3.99.1025	0	0
3.99.1026	0	0
3.99.1027	0	0
4	0	97
4.1	0	52
4.1.1	0	0
4.1.2	0	0
4.1.3	0	0
4.1.4	0	0
4.1.5	0	0
4.1.6	2	2
4.1.7	1	1
4.1.8	6	6
4.1.9	0	0
4.1.10	1	1
4.1.11	0	0
4.1.12	27	27
4.1.13	10	10
4.1.14	2	2
4.1.15	3	3
4.1.16	0	0
4.2	0	26
4.2.1	0	0
4.2.2	3	3
4.2.3	3	3
4.2.4	12	12
4.2.5	0	0
4.2.6	0	0
4.2.7	0	0
4.2.8	0	0
4.2.11	0	0
4.2.12	0	0
4.2.13	0	0
4.2.14	8	8
4.2.15	0	0
4.3	0	19
4.3.1	1	1
4.3.2	0	0
4.3.3	3	3
4.3.4	0	0
4.3.5	0	0
4.3.6	0	0
4.3.7	0	0
4.3.8	0	0
4.3.9	0	0
4.3.10	0	0
4.3.11	0	0
4.3.12	15	15
4.3.13	0	0
4.3.14	0	0
4.3.15	0	0
4.3.16	0	0
4.1001	0	0
4.1002	0	0
4.1003	0	0
4.1004	0	0
4.1005	0	0
4.1006	0	0
4.1007	0	0
5	0	51
5.1	3	3
5.2	6	6
5.3	16	16
5.5	0	0
5.6	0	0
5.8	0	0
5.10	26	26
5.1001	0	0
5.1002	0	0
6	0	28
6.1	5	5
6.2	4	4
6.3	7	7
6.4	6	6
6.5	3	3
6.9	3	3
7	0	54
7.1	0	39
7.1.1	13	13
7.1.2	11	11
7.1.3	15	15
7.1.1001	0	0
7.2	0	11
7.2.1	0	0
7.2.2	3	3
7.2.3	2	2
7.2.4	6	6
7.3	4	4
8	0	135
8.1	0	80
8.1.1	0	31
8.1.1.1	17	17
8.1.1.2	9	9
8.1.1.3	5	5
8.1.2	2	2
8.1.3	14	14
8.1.4	9	9
8.1.5	10	10
8.1.6	2	2
8.1.7	6	6
8.1.8	0	0
8.1.9	6	6
8.1.99	0	0
8.1.1001	0	0
8.1.1002	0	0
8.1.1003	0	0
8.1.1004	0	0
8.1.1005	0	0
8.1.1006	0	0
8.1.1007	0	0
8.1.1008	0	0
8.2	0	38
8.2.3	1	1
