"year","month","milk"
1994,"January",1343
1994,"February",1236
1994,"March",1401
1994,"April",1396
1994,"May",1457
1994,"June",1388
1994,"July",1389
1994,"August",1369
1994,"September",1318
1994,"October",1354
1994,"November",1312
1994,"December",1370
1995,"January",1404
1995,"February",1295
1995,"March",1453
1995,"April",1427
1995,"May",1484
1995,"June",1421
1995,"July",1414
1995,"August",1375
1995,"September",1331
1995,"October",1364
1995,"November",1320
1995,"December",1380
1996,"January",1415
1996,"February",1348
1996,"March",1469
1996,"April",1441
1996,"May",1479
1996,"June",1398
1996,"July",1400
1996,"August",1382
1996,"September",1342
1996,"October",1391
1996,"November",1350
1996,"December",1418
1997,"January",1433
1997,"February",1328
1997,"March",1500
1997,"April",1474
1997,"May",1529
1997,"June",1471
1997,"July",1473
1997,"August",1446
1997,"September",1377
1997,"October",1416
1997,"November",1369
1997,"December",1438
1998,"January",1466
1998,"February",1347
1998,"March",1515
1998,"April",1501
1998,"May",1556
1998,"June",1477
1998,"July",1468
1998,"August",1443
1998,"September",1386
1998,"October",1446
1998,"November",1407
1998,"December",1489
1999,"January",1518
1999,"February",1404
1999,"March",1585
1999,"April",1554
1999,"May",1610
1999,"June",1516
1999,"July",1498
1999,"August",1487
1999,"September",1445
1999,"October",1491
1999,"November",1459
1999,"December",1538
2000,"January",1579
2000,"February",1506
2000,"March",1632
2000,"April",1593
2000,"May",1636
2000,"June",1547
2000,"July",1561
2000,"August",1525
2000,"September",1464
2000,"October",1511
2000,"November",1459
2000,"December",1519
2001,"January",1549
2001,"February",1431
2001,"March",1599
2001,"April",1571
2001,"May",1632
2001,"June",1555
2001,"July",1552
2001,"August",1520
2001,"September",1472
2001,"October",1522
2001,"November",1485
2001,"December",1549
2002,"January",1591
2002,"February",1472
2002,"March",1654
2002,"April",1621
2002,"May",1678
2002,"June",1587
2002,"July",1578
2002,"August",1570
2002,"September",1497
2002,"October",1539
2002,"November",1496
2002,"December",1575
2003,"January",1615
2003,"February",1489
2003,"March",1666
2003,"April",1627
2003,"May",1671
2003,"June",1596
2003,"July",1597
2003,"August",1571
2003,"September",1511
2003,"October",1561
2003,"November",1517
2003,"December",1596
2004,"January",1624
2004,"February",1531
2004,"March",1661
2004,"April",1636
2004,"May",1692
2004,"June",1607
2004,"July",1623
2004,"August",1601
2004,"September",1533
2004,"October",1583
2004,"November",1531
2004,"December",1610
2005,"January",1643
2005,"February",1522
2005,"March",1707
2005,"April",1690
2005,"May",1760
2005,"June",1690
2005,"July",1683
2005,"August",1671
2005,"September",1599
2005,"October",1637
2005,"November",1592
2005,"December",1663
